sz	vz	raa	ref.vz(*10000)	nbar(*10000)	c-factor
45	7.80	180	1356.010466	1412.427244	1.041605
45	7.70	180	1356.644629	1412.427244	1.041118
45	7.60	180	1357.281390	1412.427244	1.040630
45	7.50	180	1357.920733	1412.427244	1.040140
45	7.40	180	1358.562638	1412.427244	1.039648
45	7.30	180	1359.207091	1412.427244	1.039155
45	7.20	180	1359.854073	1412.427244	1.038661
45	7.10	180	1360.503571	1412.427244	1.038165
45	7.00	180	1361.155569	1412.427244	1.037668
45	6.90	180	1361.810051	1412.427244	1.037169
45	6.80	180	1362.467004	1412.427244	1.036669
45	6.70	180	1363.126414	1412.427244	1.036167
45	6.60	180	1363.788268	1412.427244	1.035665
45	6.50	180	1364.452552	1412.427244	1.035160
45	6.40	180	1365.119254	1412.427244	1.034655
45	6.30	180	1365.788361	1412.427244	1.034148
45	6.20	180	1366.459862	1412.427244	1.033640
45	6.10	180	1367.133746	1412.427244	1.033130
45	6.00	180	1367.810000	1412.427244	1.032619
45	5.90	180	1368.488613	1412.427244	1.032107
45	5.80	180	1369.169576	1412.427244	1.031594
45	5.70	180	1369.852878	1412.427244	1.031080
45	5.60	180	1370.538509	1412.427244	1.030564
45	5.50	180	1371.226458	1412.427244	1.030047
45	5.40	180	1371.916717	1412.427244	1.029528
45	5.30	180	1372.609275	1412.427244	1.029009
45	5.20	180	1373.304125	1412.427244	1.028488
45	5.10	180	1374.001256	1412.427244	1.027966
45	5.00	180	1374.700661	1412.427244	1.027443
45	4.90	180	1375.402330	1412.427244	1.026919
45	4.80	180	1376.106256	1412.427244	1.026394
45	4.70	180	1376.812431	1412.427244	1.025868
45	4.60	180	1377.520847	1412.427244	1.025340
45	4.50	180	1378.231496	1412.427244	1.024811
45	4.40	180	1378.944371	1412.427244	1.024282
45	4.30	180	1379.659465	1412.427244	1.023751
45	4.20	180	1380.376770	1412.427244	1.023219
45	4.10	180	1381.096279	1412.427244	1.022686
45	4.00	180	1381.817986	1412.427244	1.022151
45	3.90	180	1382.541885	1412.427244	1.021616
45	3.80	180	1383.267968	1412.427244	1.021080
45	3.70	180	1383.996230	1412.427244	1.020543
45	3.60	180	1384.726664	1412.427244	1.020004
45	3.50	180	1385.459264	1412.427244	1.019465
45	3.40	180	1386.194025	1412.427244	1.018925
45	3.30	180	1386.930940	1412.427244	1.018383
45	3.20	180	1387.670005	1412.427244	1.017841
45	3.10	180	1388.411214	1412.427244	1.017297
45	3.00	180	1389.154560	1412.427244	1.016753
45	2.90	180	1389.900040	1412.427244	1.016208
45	2.80	180	1390.647648	1412.427244	1.015661
45	2.70	180	1391.397379	1412.427244	1.015114
45	2.60	180	1392.149229	1412.427244	1.014566
45	2.50	180	1392.903191	1412.427244	1.014017
45	2.40	180	1393.659263	1412.427244	1.013467
45	2.30	180	1394.417439	1412.427244	1.012916
