sz	vz	raa	ref.vz(*10000)	nbar(*10000)	c-factor
30	7.80	180	1452.098511	1513.455278	1.042254
30	7.70	180	1452.849910	1513.455278	1.041715
30	7.60	180	1453.602254	1513.455278	1.041176
30	7.50	180	1454.355542	1513.455278	1.040636
30	7.40	180	1455.109772	1513.455278	1.040097
30	7.30	180	1455.864943	1513.455278	1.039557
30	7.20	180	1456.621053	1513.455278	1.039018
30	7.10	180	1457.378101	1513.455278	1.038478
30	7.00	180	1458.136086	1513.455278	1.037938
30	6.90	180	1458.895005	1513.455278	1.037398
30	6.80	180	1459.654859	1513.455278	1.036858
30	6.70	180	1460.415645	1513.455278	1.036318
30	6.60	180	1461.177362	1513.455278	1.035778
30	6.50	180	1461.940009	1513.455278	1.035238
30	6.40	180	1462.703585	1513.455278	1.034697
30	6.30	180	1463.468088	1513.455278	1.034157
30	6.20	180	1464.233517	1513.455278	1.033616
30	6.10	180	1464.999870	1513.455278	1.033075
30	6.00	180	1465.767148	1513.455278	1.032535
30	5.90	180	1466.535347	1513.455278	1.031994
30	5.80	180	1467.304468	1513.455278	1.031453
30	5.70	180	1468.074509	1513.455278	1.030912
30	5.60	180	1468.845468	1513.455278	1.030371
30	5.50	180	1469.617345	1513.455278	1.029829
30	5.40	180	1470.390139	1513.455278	1.029288
30	5.30	180	1471.163848	1513.455278	1.028747
30	5.20	180	1471.938471	1513.455278	1.028206
30	5.10	180	1472.714007	1513.455278	1.027664
30	5.00	180	1473.490455	1513.455278	1.027123
30	4.90	180	1474.267814	1513.455278	1.026581
30	4.80	180	1475.046083	1513.455278	1.026039
30	4.70	180	1475.825261	1513.455278	1.025498
30	4.60	180	1476.605347	1513.455278	1.024956
30	4.50	180	1477.386339	1513.455278	1.024414
30	4.40	180	1478.168237	1513.455278	1.023872
30	4.30	180	1478.951040	1513.455278	1.023330
30	4.20	180	1479.734747	1513.455278	1.022788
30	4.10	180	1480.519356	1513.455278	1.022246
30	4.00	180	1481.304867	1513.455278	1.021704
30	3.90	180	1482.091279	1513.455278	1.021162
30	3.80	180	1482.878591	1513.455278	1.020620
30	3.70	180	1483.666803	1513.455278	1.020078
30	3.60	180	1484.455912	1513.455278	1.019535
30	3.50	180	1485.245918	1513.455278	1.018993
30	3.40	180	1486.036821	1513.455278	1.018451
30	3.30	180	1486.828619	1513.455278	1.017908
30	3.20	180	1487.621312	1513.455278	1.017366
30	3.10	180	1488.414899	1513.455278	1.016824
30	3.00	180	1489.209378	1513.455278	1.016281
30	2.90	180	1490.004750	1513.455278	1.015739
30	2.80	180	1490.801013	1513.455278	1.015196
30	2.70	180	1491.598166	1513.455278	1.014653
30	2.60	180	1492.396209	1513.455278	1.014111
30	2.50	180	1493.195141	1513.455278	1.013568
30	2.40	180	1493.994961	1513.455278	1.013026
30	2.30	180	1494.795668	1513.455278	1.012483
30	2.20	180	1495.597262	1513.455278	1.011940
30	2.10	180	1496.399742	1513.455278	1.011398
30	2.00	180	1497.203107	1513.455278	1.010855
30	1.90	180	1498.007357	1513.455278	1.010312
30	1.80	180	1498.812490	1513.455278	1.009770
30	1.70	180	1499.618506	1513.455278	1.009227
30	1.60	180	1500.425405	1513.455278	1.008684
30	1.50	180	1501.233185	1513.455278	1.008141
30	1.40	180	1502.041847	1513.455278	1.007599
30	1.30	180	1502.851389	1513.455278	1.007056
30	1.20	180	1503.661811	1513.455278	1.006513
30	1.10	180	1504.473111	1513.455278	1.005970
30	1.00	180	1505.285291	1513.455278	1.005428
30	0.90	180	1506.098348	1513.455278	1.004885
30	0.80	180	1506.912283	1513.455278	1.004342
30	0.70	180	1507.727094	1513.455278	1.003799
30	0.60	180	1508.542782	1513.455278	1.003256
30	0.50	180	1509.359346	1513.455278	1.002714
30	0.40	180	1510.176784	1513.455278	1.002171
30	0.30	180	1510.995097	1513.455278	1.001628
30	0.20	180	1511.814284	1513.455278	1.001085
30	0.10	180	1512.634345	1513.455278	1.000543
30	0.00	0	1513.455278	1513.455278	1.000000
30	0.10	0	1514.277084	1513.455278	0.999457
30	0.20	0	1515.099762	1513.455278	0.998915
30	0.30	0	1515.923312	1513.455278	0.998372
30	0.40	0	1516.747733	1513.455278	0.997829
30	0.50	0	1517.573024	1513.455278	0.997287
30	0.60	0	1518.399185	1513.455278	0.996744
30	0.70	0	1519.226216	1513.455278	0.996201
30	0.80	0	1520.054117	1513.455278	0.995659
30	0.90	0	1520.882886	1513.455278	0.995116
30	1.00	0	1521.712524	1513.455278	0.994574
30	1.10	0	1522.543030	1513.455278	0.994031
30	1.20	0	1523.374404	1513.455278	0.993489
30	1.30	0	1524.206644	1513.455278	0.992946
30	1.40	0	1525.039752	1513.455278	0.992404
30	1.50	0	1525.873727	1513.455278	0.991861
30	1.60	0	1526.708567	1513.455278	0.991319
30	1.70	0	1527.544274	1513.455278	0.990777
30	1.80	0	1528.380846	1513.455278	0.990234
30	1.90	0	1529.218284	1513.455278	0.989692
30	2.00	0	1530.056586	1513.455278	0.989150
30	2.10	0	1530.895753	1513.455278	0.988608
30	2.20	0	1531.735784	1513.455278	0.988065
30	2.30	0	1532.576680	1513.455278	0.987523
30	2.40	0	1533.418439	1513.455278	0.986981
30	2.50	0	1534.261062	1513.455278	0.986439
30	2.60	0	1535.104548	1513.455278	0.985897
30	2.70	0	1535.948897	1513.455278	0.985355
30	2.80	0	1536.794109	1513.455278	0.984813
30	2.90	0	1537.640183	1513.455278	0.984271
30	3.00	0	1538.487120	1513.455278	0.983730
30	3.10	0	1539.334919	1513.455278	0.983188
30	3.20	0	1540.183580	1513.455278	0.982646
30	3.30	0	1541.033103	1513.455278	0.982104
30	3.40	0	1541.883488	1513.455278	0.981563
30	3.50	0	1542.734734	1513.455278	0.981021
30	3.60	0	1543.586841	1513.455278	0.980480
30	3.70	0	1544.439809	1513.455278	0.979938
30	3.80	0	1545.293639	1513.455278	0.979397
30	3.90	0	1546.148329	1513.455278	0.978855
30	4.00	0	1547.003880	1513.455278	0.978314
30	4.10	0	1547.860292	1513.455278	0.977773
30	4.20	0	1548.717564	1513.455278	0.977231
30	4.30	0	1549.575697	1513.455278	0.976690
30	4.40	0	1550.434690	1513.455278	0.976149
30	4.50	0	1551.294544	1513.455278	0.975608
30	4.60	0	1552.155258	1513.455278	0.975067
30	4.70	0	1553.016832	1513.455278	0.974526
30	4.80	0	1553.879266	1513.455278	0.973985
30	4.90	0	1554.742560	1513.455278	0.973444
30	5.00	0	1555.606714	1513.455278	0.972904
30	5.10	0	1556.471729	1513.455278	0.972363
30	5.20	0	1557.337603	1513.455278	0.971822
30	5.30	0	1558.204338	1513.455278	0.971282
30	5.40	0	1559.071932	1513.455278	0.970741
30	5.50	0	1559.940387	1513.455278	0.970201
30	5.60	0	1560.809702	1513.455278	0.969660
30	5.70	0	1561.679877	1513.455278	0.969120
30	5.80	0	1562.550912	1513.455278	0.968580
30	5.90	0	1563.422808	1513.455278	0.968040
30	6.00	0	1564.295564	1513.455278	0.967500
30	6.10	0	1565.169180	1513.455278	0.966960
30	6.20	0	1566.043657	1513.455278	0.966420
30	6.30	0	1566.918995	1513.455278	0.965880
30	6.40	0	1567.795193	1513.455278	0.965340
30	6.50	0	1568.672252	1513.455278	0.964800
30	6.60	0	1569.550172	1513.455278	0.964261
30	6.70	0	1570.428954	1513.455278	0.963721
30	6.80	0	1571.308596	1513.455278	0.963181
30	6.90	0	1572.189100	1513.455278	0.962642
30	7.00	0	1573.070465	1513.455278	0.962103
30	7.10	0	1573.952692	1513.455278	0.961563
30	7.20	0	1574.835781	1513.455278	0.961024
30	7.30	0	1575.719732	1513.455278	0.960485
30	7.40	0	1576.604546	1513.455278	0.959946
30	7.50	0	1577.490222	1513.455278	0.959407
30	7.60	0	1578.376760	1513.455278	0.958868
30	7.70	0	1579.264162	1513.455278	0.958329
30	7.80	0	1580.152427	1513.455278	0.957791
