sz	vz	raa	ref.vz(*10000)	nbar(*10000)	c-factor
0	7.80	180	3030.667042	3093.000006	1.020567
0	7.70	180	3031.525671	3093.000006	1.020278
0	7.60	180	3032.382891	3093.000006	1.019990
0	7.50	180	3033.238697	3093.000006	1.019702
0	7.40	180	3034.093083	3093.000006	1.019415
0	7.30	180	3034.946045	3093.000006	1.019128
0	7.20	180	3035.797576	3093.000006	1.018843
0	7.10	180	3036.647673	3093.000006	1.018557
0	7.00	180	3037.496329	3093.000006	1.018273
0	6.90	180	3038.343539	3093.000006	1.017989
0	6.80	180	3039.189298	3093.000006	1.017706
0	6.70	180	3040.033601	3093.000006	1.017423
0	6.60	180	3040.876442	3093.000006	1.017141
0	6.50	180	3041.717816	3093.000006	1.016860
0	6.40	180	3042.557719	3093.000006	1.016579
0	6.30	180	3043.396143	3093.000006	1.016299
0	6.20	180	3044.233085	3093.000006	1.016019
0	6.10	180	3045.068539	3093.000006	1.015741
0	6.00	180	3045.902499	3093.000006	1.015463
0	5.90	180	3046.734960	3093.000006	1.015185
0	5.80	180	3047.565917	3093.000006	1.014908
0	5.70	180	3048.395365	3093.000006	1.014632
0	5.60	180	3049.223298	3093.000006	1.014357
0	5.50	180	3050.049710	3093.000006	1.014082
0	5.40	180	3050.874597	3093.000006	1.013808
0	5.30	180	3051.697952	3093.000006	1.013534
0	5.20	180	3052.519771	3093.000006	1.013261
0	5.10	180	3053.340048	3093.000006	1.012989
0	5.00	180	3054.158778	3093.000006	1.012717
0	4.90	180	3054.975955	3093.000006	1.012447
0	4.80	180	3055.791574	3093.000006	1.012176
0	4.70	180	3056.605630	3093.000006	1.011907
0	4.60	180	3057.418116	3093.000006	1.011638
0	4.50	180	3058.229028	3093.000006	1.011370
0	4.40	180	3059.038359	3093.000006	1.011102
0	4.30	180	3059.846106	3093.000006	1.010835
0	4.20	180	3060.652261	3093.000006	1.010569
0	4.10	180	3061.456819	3093.000006	1.010303
0	4.00	180	3062.259776	3093.000006	1.010038
0	3.90	180	3063.061125	3093.000006	1.009774
0	3.80	180	3063.860861	3093.000006	1.009511
0	3.70	180	3064.658979	3093.000006	1.009248
0	3.60	180	3065.455472	3093.000006	1.008985
0	3.50	180	3066.250336	3093.000006	1.008724
0	3.40	180	3067.043565	3093.000006	1.008463
0	3.30	180	3067.835152	3093.000006	1.008203
0	3.20	180	3068.625094	3093.000006	1.007943
0	3.10	180	3069.413383	3093.000006	1.007684
0	3.00	180	3070.200015	3093.000006	1.007426
0	2.90	180	3070.984983	3093.000006	1.007169
0	2.80	180	3071.768283	3093.000006	1.006912
0	2.70	180	3072.549908	3093.000006	1.006656
0	2.60	180	3073.329853	3093.000006	1.006400
0	2.50	180	3074.108113	3093.000006	1.006145
0	2.40	180	3074.884681	3093.000006	1.005891
0	2.30	180	3075.659552	3093.000006	1.005638
0	2.20	180	3076.432720	3093.000006	1.005385
0	2.10	180	3077.204180	3093.000006	1.005133
0	2.00	180	3077.973926	3093.000006	1.004882
0	1.90	180	3078.741952	3093.000006	1.004631
0	1.80	180	3079.508252	3093.000006	1.004381
0	1.70	180	3080.272821	3093.000006	1.004132
0	1.60	180	3081.035653	3093.000006	1.003883
0	1.50	180	3081.796742	3093.000006	1.003635
0	1.40	180	3082.556083	3093.000006	1.003388
0	1.30	180	3083.313669	3093.000006	1.003142
0	1.20	180	3084.069496	3093.000006	1.002896
0	1.10	180	3084.823556	3093.000006	1.002651
0	1.00	180	3085.575845	3093.000006	1.002406
0	0.90	180	3086.326356	3093.000006	1.002162
0	0.80	180	3087.075084	3093.000006	1.001919
0	0.70	180	3087.822023	3093.000006	1.001677
0	0.60	180	3088.567166	3093.000006	1.001435
0	0.50	180	3089.310509	3093.000006	1.001194
0	0.40	180	3090.052046	3093.000006	1.000954
0	0.30	180	3090.791769	3093.000006	1.000714
0	0.20	180	3091.529674	3093.000006	1.000476
0	0.10	180	3092.265755	3093.000006	1.000237
0	0.00	0	3093.000006	3093.000006	1.000000
0	0.10	0	3092.265755	3093.000006	1.000237
0	0.20	0	3091.529674	3093.000006	1.000476
0	0.30	0	3090.791769	3093.000006	1.000714
0	0.40	0	3090.052046	3093.000006	1.000954
0	0.50	0	3089.310509	3093.000006	1.001194
0	0.60	0	3088.567166	3093.000006	1.001435
0	0.70	0	3087.822023	3093.000006	1.001677
0	0.80	0	3087.075084	3093.000006	1.001919
0	0.90	0	3086.326356	3093.000006	1.002162
0	1.00	0	3085.575845	3093.000006	1.002406
0	1.10	0	3084.823556	3093.000006	1.002651
0	1.20	0	3084.069496	3093.000006	1.002896
0	1.30	0	3083.313669	3093.000006	1.003142
0	1.40	0	3082.556083	3093.000006	1.003388
0	1.50	0	3081.796742	3093.000006	1.003635
0	1.60	0	3081.035653	3093.000006	1.003883
0	1.70	0	3080.272821	3093.000006	1.004132
0	1.80	0	3079.508252	3093.000006	1.004381
0	1.90	0	3078.741952	3093.000006	1.004631
0	2.00	0	3077.973926	3093.000006	1.004882
0	2.10	0	3077.204180	3093.000006	1.005133
0	2.20	0	3076.432720	3093.000006	1.005385
0	2.30	0	3075.659552	3093.000006	1.005638
0	2.40	0	3074.884681	3093.000006	1.005891
0	2.50	0	3074.108113	3093.000006	1.006145
0	2.60	0	3073.329853	3093.000006	1.006400
0	2.70	0	3072.549908	3093.000006	1.006656
0	2.80	0	3071.768283	3093.000006	1.006912
0	2.90	0	3070.984983	3093.000006	1.007169
0	3.00	0	3070.200015	3093.000006	1.007426
0	3.10	0	3069.413383	3093.000006	1.007684
0	3.20	0	3068.625094	3093.000006	1.007943
0	3.30	0	3067.835152	3093.000006	1.008203
0	3.40	0	3067.043565	3093.000006	1.008463
0	3.50	0	3066.250336	3093.000006	1.008724
0	3.60	0	3065.455472	3093.000006	1.008985
0	3.70	0	3064.658979	3093.000006	1.009248
0	3.80	0	3063.860861	3093.000006	1.009511
0	3.90	0	3063.061125	3093.000006	1.009774
0	4.00	0	3062.259776	3093.000006	1.010038
0	4.10	0	3061.456819	3093.000006	1.010303
0	4.20	0	3060.652261	3093.000006	1.010569
0	4.30	0	3059.846106	3093.000006	1.010835
0	4.40	0	3059.038359	3093.000006	1.011102
0	4.50	0	3058.229028	3093.000006	1.011370
0	4.60	0	3057.418116	3093.000006	1.011638
0	4.70	0	3056.605630	3093.000006	1.011907
0	4.80	0	3055.791574	3093.000006	1.012176
0	4.90	0	3054.975955	3093.000006	1.012447
0	5.00	0	3054.158778	3093.000006	1.012717
0	5.10	0	3053.340048	3093.000006	1.012989
0	5.20	0	3052.519771	3093.000006	1.013261
0	5.30	0	3051.697952	3093.000006	1.013534
0	5.40	0	3050.874597	3093.000006	1.013808
0	5.50	0	3050.049710	3093.000006	1.014082
0	5.60	0	3049.223298	3093.000006	1.014357
0	5.70	0	3048.395365	3093.000006	1.014632
0	5.80	0	3047.565917	3093.000006	1.014908
0	5.90	0	3046.734960	3093.000006	1.015185
0	6.00	0	3045.902499	3093.000006	1.015463
0	6.10	0	3045.068539	3093.000006	1.015741
0	6.20	0	3044.233085	3093.000006	1.016019
0	6.30	0	3043.396143	3093.000006	1.016299
0	6.40	0	3042.557719	3093.000006	1.016579
0	6.50	0	3041.717816	3093.000006	1.016860
0	6.60	0	3040.876442	3093.000006	1.017141
0	6.70	0	3040.033601	3093.000006	1.017423
0	6.80	0	3039.189298	3093.000006	1.017706
0	6.90	0	3038.343539	3093.000006	1.017989
0	7.00	0	3037.496329	3093.000006	1.018273
0	7.10	0	3036.647673	3093.000006	1.018557
0	7.20	0	3035.797576	3093.000006	1.018843
0	7.30	0	3034.946045	3093.000006	1.019128
0	7.40	0	3034.093083	3093.000006	1.019415
0	7.50	0	3033.238697	3093.000006	1.019702
0	7.60	0	3032.382891	3093.000006	1.019990
0	7.70	0	3031.525671	3093.000006	1.020278
0	7.80	0	3030.667042	3093.000006	1.020567
