sz	vz	raa	ref.vz(*10000)	nbar(*10000)	c-factor
30	7.80	180	2699.794319	2814.321742	1.042421
30	7.70	180	2701.190526	2814.321742	1.041882
30	7.60	180	2702.588721	2814.321742	1.041343
30	7.50	180	2703.988899	2814.321742	1.040804
30	7.40	180	2705.391056	2814.321742	1.040264
30	7.30	180	2706.795185	2814.321742	1.039725
30	7.20	180	2708.201283	2814.321742	1.039185
30	7.10	180	2709.609344	2814.321742	1.038645
30	7.00	180	2711.019364	2814.321742	1.038105
30	6.90	180	2712.431337	2814.321742	1.037564
30	6.80	180	2713.845259	2814.321742	1.037024
30	6.70	180	2715.261125	2814.321742	1.036483
30	6.60	180	2716.678931	2814.321742	1.035942
30	6.50	180	2718.098671	2814.321742	1.035401
30	6.40	180	2719.520341	2814.321742	1.034860
30	6.30	180	2720.943937	2814.321742	1.034318
30	6.20	180	2722.369453	2814.321742	1.033777
30	6.10	180	2723.796885	2814.321742	1.033235
30	6.00	180	2725.226228	2814.321742	1.032693
30	5.90	180	2726.657478	2814.321742	1.032151
30	5.80	180	2728.090629	2814.321742	1.031609
30	5.70	180	2729.525679	2814.321742	1.031066
30	5.60	180	2730.962621	2814.321742	1.030524
30	5.50	180	2732.401452	2814.321742	1.029981
30	5.40	180	2733.842167	2814.321742	1.029438
30	5.30	180	2735.284762	2814.321742	1.028895
30	5.20	180	2736.729232	2814.321742	1.028352
30	5.10	180	2738.175572	2814.321742	1.027809
30	5.00	180	2739.623779	2814.321742	1.027266
30	4.90	180	2741.073847	2814.321742	1.026722
30	4.80	180	2742.525773	2814.321742	1.026179
30	4.70	180	2743.979553	2814.321742	1.025635
30	4.60	180	2745.435181	2814.321742	1.025091
30	4.50	180	2746.892653	2814.321742	1.024547
30	4.40	180	2748.351966	2814.321742	1.024003
30	4.30	180	2749.813115	2814.321742	1.023459
30	4.20	180	2751.276096	2814.321742	1.022915
30	4.10	180	2752.740904	2814.321742	1.022371
30	4.00	180	2754.207535	2814.321742	1.021826
30	3.90	180	2755.675986	2814.321742	1.021282
30	3.80	180	2757.146251	2814.321742	1.020737
30	3.70	180	2758.618328	2814.321742	1.020193
30	3.60	180	2760.092211	2814.321742	1.019648
30	3.50	180	2761.567896	2814.321742	1.019103
30	3.40	180	2763.045380	2814.321742	1.018558
30	3.30	180	2764.524658	2814.321742	1.018013
30	3.20	180	2766.005727	2814.321742	1.017468
30	3.10	180	2767.488581	2814.321742	1.016923
30	3.00	180	2768.973218	2814.321742	1.016377
30	2.90	180	2770.459633	2814.321742	1.015832
30	2.80	180	2771.947823	2814.321742	1.015287
30	2.70	180	2773.437782	2814.321742	1.014741
30	2.60	180	2774.929508	2814.321742	1.014196
30	2.50	180	2776.422996	2814.321742	1.013650
30	2.40	180	2777.918242	2814.321742	1.013105
30	2.30	180	2779.415243	2814.321742	1.012559
30	2.20	180	2780.913995	2814.321742	1.012013
30	2.10	180	2782.414493	2814.321742	1.011467
30	2.00	180	2783.916734	2814.321742	1.010922
30	1.90	180	2785.420714	2814.321742	1.010376
30	1.80	180	2786.926429	2814.321742	1.009830
30	1.70	180	2788.433876	2814.321742	1.009284
30	1.60	180	2789.943050	2814.321742	1.008738
30	1.50	180	2791.453948	2814.321742	1.008192
30	1.40	180	2792.966566	2814.321742	1.007646
30	1.30	180	2794.480900	2814.321742	1.007100
30	1.20	180	2795.996946	2814.321742	1.006554
30	1.10	180	2797.514702	2814.321742	1.006008
30	1.00	180	2799.034162	2814.321742	1.005462
30	0.90	180	2800.555324	2814.321742	1.004916
30	0.80	180	2802.078184	2814.321742	1.004369
30	0.70	180	2803.602737	2814.321742	1.003823
30	0.60	180	2805.128981	2814.321742	1.003277
30	0.50	180	2806.656912	2814.321742	1.002731
30	0.40	180	2808.186526	2814.321742	1.002185
30	0.30	180	2809.717820	2814.321742	1.001639
30	0.20	180	2811.250789	2814.321742	1.001092
30	0.10	180	2812.785431	2814.321742	1.000546
30	0.00	0	2814.321742	2814.321742	1.000000
