sz	vz	raa	ref.vz(*10000)	nbar(*10000)	c-factor
45	3.20	0	2709.648208	2657.351460	0.980700
45	3.30	0	2711.347669	2657.351460	0.980085
45	3.40	0	2713.051038	2657.351460	0.979470
45	3.50	0	2714.758312	2657.351460	0.978854
45	3.60	0	2716.469487	2657.351460	0.978237
45	3.70	0	2718.184561	2657.351460	0.977620
45	3.80	0	2719.903530	2657.351460	0.977002
45	3.90	0	2721.626392	2657.351460	0.976384
45	4.00	0	2723.353143	2657.351460	0.975765
45	4.10	0	2725.083782	2657.351460	0.975145
45	4.20	0	2726.818304	2657.351460	0.974525
45	4.30	0	2728.556709	2657.351460	0.973904
45	4.40	0	2730.298991	2657.351460	0.973282
45	4.50	0	2732.045151	2657.351460	0.972660
45	4.60	0	2733.795183	2657.351460	0.972038
45	4.70	0	2735.549087	2657.351460	0.971414
45	4.80	0	2737.306860	2657.351460	0.970790
45	4.90	0	2739.068500	2657.351460	0.970166
45	5.00	0	2740.834004	2657.351460	0.969541
45	5.10	0	2742.603369	2657.351460	0.968916
45	5.20	0	2744.376595	2657.351460	0.968290
45	5.30	0	2746.153678	2657.351460	0.967663
45	5.40	0	2747.934617	2657.351460	0.967036
45	5.50	0	2749.719409	2657.351460	0.966408
45	5.60	0	2751.508053	2657.351460	0.965780
45	5.70	0	2753.300547	2657.351460	0.965151
45	5.80	0	2755.096889	2657.351460	0.964522
45	5.90	0	2756.897076	2657.351460	0.963892
45	6.00	0	2758.701108	2657.351460	0.963262
45	6.10	0	2760.508983	2657.351460	0.962631
45	6.20	0	2762.320698	2657.351460	0.962000
45	6.30	0	2764.136253	2657.351460	0.961368
45	6.40	0	2765.955646	2657.351460	0.960735
45	6.50	0	2767.778875	2657.351460	0.960103
45	6.60	0	2769.605939	2657.351460	0.959469
45	6.70	0	2771.436836	2657.351460	0.958835
45	6.80	0	2773.271566	2657.351460	0.958201
45	6.90	0	2775.110126	2657.351460	0.957566
45	7.00	0	2776.952516	2657.351460	0.956931
45	7.10	0	2778.798734	2657.351460	0.956295
45	7.20	0	2780.648779	2657.351460	0.955659
45	7.30	0	2782.502651	2657.351460	0.955022
45	7.40	0	2784.360347	2657.351460	0.954385
45	7.50	0	2786.221868	2657.351460	0.953747
45	7.60	0	2788.087212	2657.351460	0.953109
45	7.70	0	2789.956377	2657.351460	0.952471
45	7.80	0	2791.829364	2657.351460	0.951832
