sz	vz	raa	ref.vz(*10000)	nbar(*10000)	c-factor
0	7.80	180	1648.678289	1690.000004	1.025064
0	7.70	180	1649.231703	1690.000004	1.024720
0	7.60	180	1649.784535	1690.000004	1.024376
0	7.50	180	1650.336784	1690.000004	1.024033
0	7.40	180	1650.888450	1690.000004	1.023691
0	7.30	180	1651.439530	1690.000004	1.023350
0	7.20	180	1651.990024	1690.000004	1.023009
0	7.10	180	1652.539931	1690.000004	1.022668
0	7.00	180	1653.089249	1690.000004	1.022328
0	6.90	180	1653.637976	1690.000004	1.021989
0	6.80	180	1654.186112	1690.000004	1.021650
0	6.70	180	1654.733656	1690.000004	1.021312
0	6.60	180	1655.280606	1690.000004	1.020975
0	6.50	180	1655.826961	1690.000004	1.020638
0	6.40	180	1656.372719	1690.000004	1.020302
0	6.30	180	1656.917880	1690.000004	1.019966
0	6.20	180	1657.462442	1690.000004	1.019631
0	6.10	180	1658.006403	1690.000004	1.019296
0	6.00	180	1658.549763	1690.000004	1.018962
0	5.90	180	1659.092520	1690.000004	1.018629
0	5.80	180	1659.634674	1690.000004	1.018296
0	5.70	180	1660.176221	1690.000004	1.017964
0	5.60	180	1660.717162	1690.000004	1.017633
0	5.50	180	1661.257496	1690.000004	1.017302
0	5.40	180	1661.797220	1690.000004	1.016971
0	5.30	180	1662.336333	1690.000004	1.016641
0	5.20	180	1662.874834	1690.000004	1.016312
0	5.10	180	1663.412723	1690.000004	1.015984
0	5.00	180	1663.949996	1690.000004	1.015656
0	4.90	180	1664.486654	1690.000004	1.015328
0	4.80	180	1665.022695	1690.000004	1.015001
0	4.70	180	1665.558117	1690.000004	1.014675
0	4.60	180	1666.092920	1690.000004	1.014349
0	4.50	180	1666.627101	1690.000004	1.014024
0	4.40	180	1667.160660	1690.000004	1.013700
0	4.30	180	1667.693595	1690.000004	1.013376
0	4.20	180	1668.225905	1690.000004	1.013052
0	4.10	180	1668.757588	1690.000004	1.012729
0	4.00	180	1669.288643	1690.000004	1.012407
0	3.90	180	1669.819069	1690.000004	1.012086
0	3.80	180	1670.348865	1690.000004	1.011765
0	3.70	180	1670.878029	1690.000004	1.011444
0	3.60	180	1671.406559	1690.000004	1.011124
0	3.50	180	1671.934454	1690.000004	1.010805
0	3.40	180	1672.461714	1690.000004	1.010487
0	3.30	180	1672.988336	1690.000004	1.010168
0	3.20	180	1673.514319	1690.000004	1.009851
0	3.10	180	1674.039662	1690.000004	1.009534
0	3.00	180	1674.564364	1690.000004	1.009218
0	2.90	180	1675.088422	1690.000004	1.008902
0	2.80	180	1675.611836	1690.000004	1.008587
0	2.70	180	1676.134604	1690.000004	1.008272
0	2.60	180	1676.656725	1690.000004	1.007958
0	2.50	180	1677.178197	1690.000004	1.007645
0	2.40	180	1677.699020	1690.000004	1.007332
0	2.30	180	1678.219191	1690.000004	1.007020
0	2.20	180	1678.738709	1690.000004	1.006708
0	2.10	180	1679.257572	1690.000004	1.006397
0	2.00	180	1679.775780	1690.000004	1.006087
0	1.90	180	1680.293331	1690.000004	1.005777
0	1.80	180	1680.810223	1690.000004	1.005467
0	1.70	180	1681.326455	1690.000004	1.005159
0	1.60	180	1681.842026	1690.000004	1.004851
0	1.50	180	1682.356934	1690.000004	1.004543
0	1.40	180	1682.871177	1690.000004	1.004236
0	1.30	180	1683.384755	1690.000004	1.003930
0	1.20	180	1683.897665	1690.000004	1.003624
0	1.10	180	1684.409907	1690.000004	1.003319
0	1.00	180	1684.921478	1690.000004	1.003014
0	0.90	180	1685.432378	1690.000004	1.002710
0	0.80	180	1685.942604	1690.000004	1.002407
0	0.70	180	1686.452156	1690.000004	1.002104
0	0.60	180	1686.961032	1690.000004	1.001801
0	0.50	180	1687.469230	1690.000004	1.001500
0	0.40	180	1687.976749	1690.000004	1.001199
0	0.30	180	1688.483587	1690.000004	1.000898
0	0.20	180	1688.989744	1690.000004	1.000598
0	0.10	180	1689.495216	1690.000004	1.000299
0	0.00	0	1690.000004	1690.000004	1.000000
0	0.10	0	1689.495216	1690.000004	1.000299
0	0.20	0	1688.989744	1690.000004	1.000598
0	0.30	0	1688.483587	1690.000004	1.000898
0	0.40	0	1687.976749	1690.000004	1.001199
0	0.50	0	1687.469230	1690.000004	1.001500
0	0.60	0	1686.961032	1690.000004	1.001801
0	0.70	0	1686.452156	1690.000004	1.002104
0	0.80	0	1685.942604	1690.000004	1.002407
0	0.90	0	1685.432378	1690.000004	1.002710
0	1.00	0	1684.921478	1690.000004	1.003014
0	1.10	0	1684.409907	1690.000004	1.003319
0	1.20	0	1683.897665	1690.000004	1.003624
0	1.30	0	1683.384755	1690.000004	1.003930
0	1.40	0	1682.871177	1690.000004	1.004236
0	1.50	0	1682.356934	1690.000004	1.004543
0	1.60	0	1681.842026	1690.000004	1.004851
